"","ID","control","country","yearsTeaching","physics","chemistry","technology","biology","mathematics","integrated","subjects"
"1",1,"n","DK",3,1,1,0,0,0,0,"110000"
"2",2,"n","DK",4,1,1,0,1,1,0,"110110"
"3",3,"n","DK",2,0,0,1,0,0,0,"001000"
"4",4,"n","DK",3,1,0,0,0,1,0,"100010"
"5",5,"n","DK",3,1,1,0,1,1,0,"110110"
"6",6,"n","DK",3,1,0,0,0,1,0,"100010"
"7",7,"n","DK",3,0,0,0,1,0,0,"000100"
"8",8,"n","DK",1,0,0,0,0,1,0,"000010"
"9",9,"n","DK",4,0,0,1,0,0,0,"001000"
"10",10,"n","DK",4,1,1,0,1,1,0,"110110"
"11",11,"n","DK",2,0,0,0,1,0,0,"000100"
"12",12,"n","DK",2,0,1,0,1,0,0,"010100"
"13",13,"n","DK",2,0,0,0,1,0,0,"000100"
"17",17,"n","CH",4,1,0,0,0,0,0,"100000"
"18",18,"n","CH",2,0,0,0,0,1,1,"000011"
"19",19,"n","CH",1,0,0,0,0,1,1,"000011"
"20",20,"n","CH",4,0,0,0,0,1,1,"000011"
"21",21,"n","CH",3,0,0,0,1,0,0,"000100"
"22",22,"n","CH",3,0,0,0,0,0,1,"000001"
"23",23,"n","CH",4,0,0,0,0,1,1,"000011"
"24",24,"n","CH",3,0,0,0,1,0,0,"000100"
"25",25,"n","CH",2,1,0,0,0,1,0,"100010"
"26",26,"n","CH",2,1,0,0,0,1,0,"100010"
"27",27,"n","CH",4,0,0,0,1,0,0,"000100"
"28",28,"n","CH",3,0,0,0,1,1,1,"000111"
"29",29,"n","CH",1,0,1,0,0,0,0,"010000"
"30",30,"n","CH",2,0,1,0,0,1,0,"010010"
"43",43,"n","FI",3,1,0,0,0,0,0,"100000"
"44",44,"n","FI",3,0,0,0,1,1,0,"000110"
"45",45,"n","FI",3,0,0,0,0,1,0,"000010"
"46",46,"n","FI",4,0,0,0,0,1,0,"000010"
"47",47,"n","FI",3,1,1,0,0,1,0,"110010"
"48",48,"n","FI",3,0,0,0,0,1,0,"000010"
"49",49,"n","FI",3,0,0,0,0,1,0,"000010"
"51",51,"n","CZ",4,0,0,0,0,1,0,"000010"
"52",52,"n","CZ",4,0,0,0,0,1,0,"000010"
"53",53,"n","CZ",1,0,0,0,0,1,0,"000010"
"54",54,"n","CZ",4,0,0,0,1,0,0,"000100"
"55",55,"n","CZ",2,0,0,0,0,1,0,"000010"
"56",56,"n","CZ",1,0,0,1,1,1,0,"001110"
"57",57,"n","CZ",4,0,0,0,1,1,0,"000110"
"58",58,"n","CZ",2,0,1,0,1,0,0,"010100"
"59",59,"n","CZ",1,0,0,0,0,1,0,"000010"
"60",60,"n","CZ",3,0,0,0,1,1,0,"000110"
"71",71,"n","F",3,1,1,0,0,0,0,"110000"
"72",72,"n","F",3,1,1,0,0,0,0,"110000"
"73",73,"n","F",3,1,1,0,0,0,0,"110000"
"74",74,"n","F",3,1,1,0,0,0,0,"110000"
"75",75,"n","F",2,0,0,0,0,1,0,"000010"
"76",76,"n","F",4,0,0,0,1,0,0,"000100"
"77",77,"n","F",2,0,0,0,0,1,0,"000010"
"78",78,"n","F",2,0,0,0,1,0,0,"000100"
"79",79,"n","F",3,1,1,0,0,0,0,"110000"
"80",80,"n","F",3,0,0,0,0,0,1,"000001"
"81",81,"n","F",3,1,1,0,0,0,0,"110000"
"82",82,"n","F",2,0,0,1,0,0,0,"001000"
"83",83,"n","F",3,0,0,0,1,0,0,"000100"
"84",84,"n","F",3,0,0,0,1,0,1,"000101"
"85",85,"n","F",3,1,1,0,0,0,0,"110000"
"86",86,"n","F",4,0,0,1,0,0,0,"001000"
"90",90,"n","D",2,0,1,0,1,1,1,"010111"
"91",91,"n","D",1,0,1,0,0,1,0,"010010"
"92",92,"n","D",2,1,0,0,0,1,1,"100011"
"93",93,"n","D",1,0,1,0,1,0,0,"010100"
