ID;Name;pre38;pre39;pre40;pre41;pre42;pre43;pre44;pre45;pre46;pre47;pre48;pre49;post38;post39;post40;post41;post42;post43;post44;post45;post46;post47;post48;post49;control;gender;yearsTeaching;country;Physics;Chemistry;Biology;Technology;Math;Integrated
1;Respondent 1;4;4;3;3;3;;;3;3;3;3;3;4;4;3;3;3;3;4;3;3;3;3;2;n;1;3;DK;1;1;0;0;0;0
2;Respondent 2;4;4;3;4;5;4;;2;4;5;3;2;5;4;4;4;5;5;4;4;4;4;4;3;n;2;4;DK;1;1;1;0;1;0
3;Respondent 3;4;3;4;3;3;2;4;4;4;4;5;4;4;4;3;;4;;3;4;4;5;5;4;n;1;2;DK;0;0;0;1;0;0
4;Respondent 4;4;;1;2;;4;2;1;;5;4;2;3;4;3;;4;1;;2;3;5;3;3;n;1;3;DK;1;0;0;0;1;0
5;Respondent 5;4;2;3;4;4;4;5;3;4;3;4;3;4;1;4;3;4;3;4;4;4;4;4;3;n;1;3;DK;1;1;1;0;1;0
6;Respondent 6;3;5;4;3;3;2;;2;3;;4;4;4;5;3;;5;3;3;3;;5;4;3;n;2;3;DK;1;0;0;0;1;0
7;Respondent 7;4;5;4;3;2;3;3;4;3;3;3;4;3;2;4;2;5;4;2;4;4;5;5;4;n;1;3;DK;0;0;1;0;0;0
8;Respondent 8;3;1;2;2;2;;;2;;1;;1;3;3;2;4;;2;1;2;2;2;3;3;n;2;1;DK;0;0;0;0;1;0
9;Respondent 9;5;5;5;5;2;4;2;5;2;3;5;5;5;5;4;4;4;3;4;5;4;5;4;5;n;1;4;DK;0;0;0;1;0;0
10;Respondent 10;5;5;;5;5;5;5;4;;3;;;5;5;4;5;5;4;4;5;;5;4;5;n;2;4;DK;1;1;1;0;1;0
11;Respondent 11;4;5;1;4;3;3;2;3;;3;3;4;5;5;5;5;5;3;5;5;;4;4;5;n;2;2;DK;0;0;1;0;0;0
12;Respondent 12;5;5;3;;3;3;3;4;4;3;5;4;4;5;4;2;5;3;2;4;2;4;4;4;n;2;2;DK;0;1;1;0;0;0
13;Respondent 13;4;5;3;4;4;;;3;4;5;;2;5;4;4;5;5;4;4;4;4;5;4;5;n;1;2;DK;0;0;1;0;0;0
14;Respondent 14;5;3;3;5;5;1;1;3;;3;3;3;5;4;3;3;3;1;1;3;3;3;3;4;y;1;2;DK;0;0;1;0;0;0
15;Respondent 15;5;5;3;4;4;2;4;3;5;4;;3;5;5;3;4;5;2;4;3;3;5;;5;y;2;4;DK;0;1;0;1;1;0
16;Respondent 16;3;4;4;3;;;5;3;;4;5;4;4;4;2;4;;;;;;5;4;2;y;1;4;DK;1;0;0;0;1;0
17;Respondent 17;1;4;3;1;3;2;2;2;;;3;4;;4;4;1;2;1;4;2;4;4;2;2;n;1;4;CH;1;0;0;0;0;0
18;Respondent 18;;;2;3;2;1;3;2;5;;;3;2;2;4;3;1;2;5;3;3;;2;3;n;2;2;CH;0;0;0;0;1;1
19;Respondent 19;1;4;3;1;3;3;2;2;4;2;2;5;2;4;3;3;4;4;5;5;5;2;2;3;n;NA;1;CH;0;0;0;0;1;1
20;Respondent 20;2;5;3;1;2;3;2;4;5;1;1;3;1;5;4;3;2;1;4;1;5;2;2;2;n;2;4;CH;0;0;0;0;1;1
21;Respondent 21;1;2;5;1;1;1;5;4;4;4;2;1;3;1;5;3;1;1;5;4;4;3;3;2;n;2;3;CH;0;0;1;0;0;0
22;Respondent 22;4;1;5;1;1;2;3;2;5;1;;3;4;1;5;3;1;1;4;1;5;;;1;n;2;3;CH;0;0;0;0;0;1
23;Respondent 23;2;2;4;3;3;4;4;3;3;2;3;2;1;4;2;3;3;2;3;1;5;3;3;2;n;1;4;CH;0;0;0;0;1;1
24;Respondent 24;1;4;4;1;;1;;1;5;3;;;1;5;4;1;2;1;;;3;5;1;;n;2;3;CH;0;0;1;0;0;0
25;Respondent 25;1;;;1;2;1;;1;5;2;2;;;;;1;3;1;4;1;5;;1;3;n;1;2;CH;1;0;0;0;1;0
